ID	ATP7A	FDX1	LIAS	LIPT1	DLD	MTF1	CDKN2A	Cluster
GSM2449842_Treat	7.617865	6.771023	6.707811	7.356574	7.850233	8.046113	4.684712	C1
GSM2449843_Treat	7.071591	7.037368	6.69896	7.42021	7.57224	7.894118	4.611599	C2
GSM2449844_Treat	7.478559	6.729231	6.635031	7.38095	7.675887	8.028295	4.538453	C1
GSM2449845_Treat	7.53991	7.105563	6.471121	7.727557	7.752252	7.831893	4.521122	C2
GSM2449846_Treat	7.414245	6.729231	6.256183	7.058382	7.716445	8.267594	4.490919	C1
GSM2449847_Treat	7.661234	6.654827	6.635031	7.185555	7.69485	8.396916	4.354054	C1
GSM2449848_Treat	7.505893	6.584389	6.472418	6.721304	7.430946	8.146834	4.816062	C1
GSM2449849_Treat	7.29875	6.880323	6.579827	7.701574	7.732741	7.847512	4.705029	C2
GSM2449850_Treat	7.672967	6.426894	6.685953	7.389494	7.402782	8.497313	4.765718	C1
GSM2449851_Treat	7.292876	7.090525	6.652822	7.772445	8.024512	7.498109	4.559586	C2
GSM2449852_Treat	7.496079	6.678292	6.651826	7.178134	7.577343	8.382179	4.456507	C1
GSM2449853_Treat	7.073707	6.597132	6.434211	6.865987	7.653461	8.225481	4.65821	C1
GSM2449854_Treat	7.396968	6.851106	6.436182	7.333913	7.567732	8.211789	4.625568	C1
GSM2449855_Treat	7.334735	6.864184	6.441841	7.133057	7.583697	8.261527	4.665365	C1
GSM2449856_Treat	7.531637	6.775525	6.653877	7.252944	7.74417	7.907569	4.61565	C1
GSM2449857_Treat	7.468539	6.691408	6.672065	7.224786	7.771576	8.185202	4.455942	C1
GSM2449858_Treat	7.206114	6.647082	6.704727	7.411427	7.562383	7.993718	4.5364	C1
GSM2449859_Treat	7.459662	7.081978	6.648756	7.669499	7.861138	7.599884	4.682472	C2
GSM2449860_Treat	7.243437	7.418974	6.691408	8.027215	8.056509	7.632114	4.844445	C2
GSM2449861_Treat	7.884241	6.812843	6.646419	7.292117	7.800727	8.089387	4.471159	C1
GSM2449863_Treat	7.36314	6.650058	6.556802	7.239925	7.621361	8.165863	4.51682	C1
GSM2449864_Treat	7.491843	6.732576	6.466595	7.445969	7.490138	8.128241	4.646619	C1
GSM2449865_Treat	7.483175	6.870657	6.581184	7.581066	7.802468	8.21659	4.809463	C2
GSM2449866_Treat	7.492245	6.875756	6.437522	7.088329	7.653879	8.379638	4.670453	C1
GSM2449867_Treat	7.626051	6.939528	6.788415	7.387925	7.73314	8.000379	4.649136	C2
GSM2449868_Treat	7.230072	6.736985	6.38643	7.173368	7.625155	8.131057	4.645021	C1
GSM2449869_Treat	7.731888	6.912486	6.438428	7.088687	7.695713	8.284864	4.60313	C1
GSM2449870_Treat	7.387925	6.884445	6.207962	7.224786	7.693536	8.041383	4.649922	C1
GSM2449871_Treat	7.376372	6.776574	6.451027	7.216195	7.731888	8.020864	4.621372	C1
GSM2449872_Treat	7.595241	7.10961	6.582826	7.624285	7.837407	7.802468	4.716109	C2
GSM2449873_Treat	7.19947	6.919123	6.290663	7.191818	7.436545	8.162931	4.792263	C1
GSM2449874_Treat	7.400852	6.708477	6.545006	7.279394	7.583268	8.088836	4.612407	C1
GSM2449875_Treat	7.654312	6.682901	6.545006	7.148786	7.925104	8.2446	4.513814	C1
GSM2449876_Treat	7.518793	7.762622	6.796911	8.364854	8.122043	7.441604	4.664141	C2
GSM2449877_Treat	7.942692	6.835756	6.324714	7.491017	7.793161	8.300294	4.599301	C1
GSM2449878_Treat	7.810547	6.945264	6.551285	7.764018	8.018803	7.864428	4.852834	C2
GSM2449879_Treat	7.54656	7.015485	6.869206	7.812838	8.029745	7.938255	4.484417	C2
GSM2449880_Treat	7.515468	6.76832	6.567726	7.254833	7.684871	8.162931	4.486267	C1
GSM2449881_Treat	7.133412	6.542375	6.55709	7.362733	7.530346	8.367394	4.993962	C1
GSM2449882_Treat	7.55075	6.727172	6.605713	7.208004	7.832338	8.072119	4.724563	C1
GSM2449883_Treat	8.029265	6.663345	6.264019	6.645341	7.856595	8.479699	4.717956	C1
GSM2449884_Treat	7.500719	7.083344	6.635031	7.590895	7.864428	7.692673	4.765325	C2
GSM2449885_Treat	7.49686	6.901543	6.633346	7.499853	7.857483	8.131057	4.444279	C2
GSM2449886_Treat	7.373208	6.815805	6.497592	7.356934	7.654719	8.271163	4.468562	C1
GSM2449887_Treat	7.542008	6.736296	6.467903	7.048889	7.702411	8.238105	4.583521	C1
